                              | PREDICT__________________________________________| 
12/14/2025 23:32:07    1208   | -17660.39844    0.00197855942   0.02589385211    | -17660.40039    
12/14/2025 23:32:07    1209   | -17660.41602    0.005867902189  0.02956666984    | -17660.41016    
12/14/2025 23:32:08    1210   | -17660.27344    0.003919029143  0.02302962728    | -17660.26953    
12/14/2025 23:32:08    1211   | -17660.36914    0.009770743549  0.02507671155    | -17660.35938    
12/14/2025 23:32:08    1212   | -17660.58984    0.00197855942   0.02564193308    | -17660.58789    
12/14/2025 23:32:08    1213   | -17660.53711    0.0003162277571 0.02404791489    | -17660.53711    
12/14/2025 23:32:08    1214   | -17660.43359    0.003919029143  0.02785672247    | -17660.4375     
12/14/2025 23:32:08    1215   | -17660.54102    0.005867902189  0.02681937627    | -17660.53516    
12/14/2025 23:32:08    1216   | -17660.29492    0.01172301546   0.02829099633    | -17660.30664    
12/14/2025 23:32:08    1217   | -17660.51367    0.00197855942   0.02964877523    | -17660.51562    
12/14/2025 23:32:08    1218   | -17660.5293     0.01172301546   0.02279232256    | -17660.54102    
12/14/2025 23:32:08    1219   | -17660.32617    0.009770743549  0.0298609715     | -17660.31641    
12/14/2025 23:32:08    1220   | -17660.42969    0.01562820002   0.03506396338    | -17660.41406    
12/14/2025 23:32:08    1221   | -17660.4375     0.005867902189  0.03006458841    | -17660.43164    
12/14/2025 23:32:08    1222   | -17660.62109    0.009770743549  0.02360123955    | -17660.61133    
12/14/2025 23:32:08    1223   | -17660.54102    0.02148670144   0.01835783198    | -17660.51953    
12/14/2025 23:32:08    1224   | -17660.51367    0.01367553137   0.02462444082    | -17660.5        
12/14/2025 23:32:08    1225   | -17660.41992    0.01758096926   0.02760359272    | -17660.40234    
12/14/2025 23:32:08    1226   | -17660.42969    0.009770743549  0.02911488898    | -17660.41992    
12/14/2025 23:32:08    1227   | -17660.62109    0.02929858118   0.02604453452    | -17660.5918     
12/14/2025 23:32:08    1228   | -17660.60742    0.02148670144   0.03044647351    | -17660.58594    
12/14/2025 23:32:08    1229   | -17660.44922    0.02148670144   0.02085285075    | -17660.42773    
12/14/2025 23:32:08    1230   | -17660.22266    0.005867902189  0.03373456374    | -17660.22852    
12/14/2025 23:32:08    1231   | -17660.55273    0.00197855942   0.02883225307    | -17660.55469    
12/14/2025 23:32:08    1232   | -17660.32422    0.02148670144   0.03428762034    | -17660.30273    
12/14/2025 23:32:08    1233   | -17660.68945    0.003919029143  0.0216199439     | -17660.68555    
12/14/2025 23:32:08    1234   | -17660.54297    0.009770743549  0.02013163082    | -17660.5332     
12/14/2025 23:32:08    1235   | -17660.56445    0.01562820002   0.02432844043    | -17660.54883    
12/14/2025 23:32:08    1236   | -17660.45703    0.01367553137   0.02919228002    | -17660.44336    
12/14/2025 23:32:08    1237   | -17660.57031    0.01758096926   0.0235456042     | -17660.55273    
12/14/2025 23:32:08    1238   | -17660.48242    0.007818897255  0.02272378467    | -17660.47461    
12/14/2025 23:32:08    1239   | -17660.45508    0.003919029143  0.02968810685    | -17660.45898    
12/14/2025 23:32:08    1240   | -17660.50781    0.01953380927   0.02627480403    | -17660.48828    
12/14/2025 23:32:09    1241   | -17660.45508    0.01367553137   0.03060578369    | -17660.44141    
12/14/2025 23:32:09    1242   | -17660.29883    0.00197855942   0.03701359406    | -17660.29688    
12/14/2025 23:32:09    1243   | -17660.44727    0.01562820002   0.02882242762    | -17660.43164    
12/14/2025 23:32:09    1244   | -17660.43945    0.01172301546   0.02243686654    | -17660.42773    
12/14/2025 23:32:09    1245   | -17660.42969    0.01367553137   0.02510761283    | -17660.41602    
12/14/2025 23:32:09    1246   | -17660.16211    0.01172301546   0.02752109617    | -17660.15039    
12/14/2025 23:32:09    1247   | -17660.30469    0.009770743549  0.02904697321    | -17660.29492    
12/14/2025 23:32:09    1248   | -17660.5        0.01953380927   0.02366457134    | -17660.48047    
12/14/2025 23:32:09    1249   | -17660.17578    0.01758096926   0.04461444169    | -17660.1582     
12/14/2025 23:32:09    1250   | -17660.35742    0.00197855942   0.02939956635    | -17660.35547    
12/14/2025 23:32:09    1251   | -17660.27344    0.03320463002   0.03194338828    | -17660.24023    
12/14/2025 23:32:09    1252   | -17660.43555    0.02148670144   0.02646665089    | -17660.41406    
12/14/2025 23:32:09    1253   | -17660.49023    0.01367553137   0.03158655018    | -17660.47656    
12/14/2025 23:32:09    1254   | -17660.41016    0.005867902189  0.03430843726    | -17660.4043     
12/14/2025 23:32:09    1255   | -17660.53516    0.003919029143  0.03130628541    | -17660.53125    
12/14/2025 23:32:09    1256   | -17660.27539    0.009770743549  0.03289736435    | -17660.26562    
12/14/2025 23:32:09    1257   | -17660.41016    0.003919029143  0.04798854142    | -17660.41406    
12/14/2025 23:32:09    1258   | -17660.31445    0.01758096926   0.03329667076    | -17660.29688    
12/14/2025 23:32:09    1259   | -17660.29492    0.01172301546   0.02350923046    | -17660.2832     
12/14/2025 23:32:09    1260   | -17660.32812    0.02148670144   0.03102705628    | -17660.30664    
12/14/2025 23:32:09    1261   | -17660.41406    0.005867902189  0.03339667991    | -17660.41992    
12/14/2025 23:32:09    1262   | -17660.52539    0.00197855942   0.02315461822    | -17660.52344    
12/14/2025 23:32:09    1263   | -17660.35352    0.003919029143  0.02840722539    | -17660.35742    
12/14/2025 23:32:09    1264   | -17660.5332     0.003919029143  0.03398163244    | -17660.5293     
12/14/2025 23:32:09    1265   | -17660.58789    0.003919029143  0.02061921172    | -17660.58398    
12/14/2025 23:32:09    1266   | -17660.48633    0.00197855942   0.03459663317    | -17660.48438    
12/14/2025 23:32:09    1267   | -17660.41992    0.00197855942   0.02740473486    | -17660.41797    
12/14/2025 23:32:09    1268   | -17660.37109    0.003919029143  0.0325829424     | -17660.36719    
12/14/2025 23:32:09    1269   | -17660.41992    0.007818897255  0.03621767089    | -17660.41211    
12/14/2025 23:32:09    1270   | -17660.24414    0.007818897255  0.03079012781    | -17660.23633    
12/14/2025 23:32:10    1271   | -17660.57031    0.007818897255  0.02217821032    | -17660.5625     
12/14/2025 23:32:10    1272   | -17659.97266    0.003919029143  0.03703514859    | -17659.96875    
12/14/2025 23:32:10    1273   | -17660.51367    0.01172301546   0.03210376203    | -17660.50195    
12/14/2025 23:32:10    1274   | -17660.40234    0.009770743549  0.02571171522    | -17660.39258    
12/14/2025 23:32:10    1275   | -17660.52734    0.01758096926   0.02638606168    | -17660.50977    
12/14/2025 23:32:10    1276   | -17660.35352    0.007818897255  0.02894278057    | -17660.3457     
12/14/2025 23:32:10    1277   | -17660.44336    0.007818897255  0.02292650007    | -17660.43555    
12/14/2025 23:32:10    1278   | -17660.46289    0.009770743549  0.02292637154    | -17660.45312    
12/14/2025 23:32:10    1279   | -17660.43945    0.005867902189  0.0238269493     | -17660.43359    
12/14/2025 23:32:10    1280   | -17660.24414    0.007818897255  0.04076441377    | -17660.23633    
12/14/2025 23:32:10    1281   | -17660.36914    0.003919029143  0.03174448013    | -17660.37305    
12/14/2025 23:32:10    1282   | -17660.45703    0.003919029143  0.02110201307    | -17660.45312    
12/14/2025 23:32:10    1283   | -17660.07812    0.005867902189  0.02950215526    | -17660.07227    
12/14/2025 23:32:10    1284   | -17660.23633    0.00197855942   0.03044176847    | -17660.23828    
12/14/2025 23:32:10    1285   | -17660.42773    0.007818897255  0.02826183289    | -17660.43555    
12/14/2025 23:32:10    1286   | -17660.55469    0.003919029143  0.02721186168    | -17660.55859    
12/14/2025 23:32:10    1287   | -17660.70508    0.007818897255  0.02851262689    | -17660.69727    
12/14/2025 23:32:10    1288   | -17660.5        0.007818897255  0.03497901559    | -17660.49219    
12/14/2025 23:32:10    1289   | -17660.56836    0.01367553137   0.02498643659    | -17660.55469    
12/14/2025 23:32:10    1290   | -17660.54102    0.01562820002   0.02536271326    | -17660.52539    
12/14/2025 23:32:10    1291   | -17660.41016    0.01758096926   0.03075207025    | -17660.39258    
12/14/2025 23:32:10    1292   | -17660.61719    0.009770743549  0.02359224111    | -17660.60742    
12/14/2025 23:32:10    1293   | -17660.45312    0.007818897255  0.02970512398    | -17660.44531    
12/14/2025 23:32:10    1294   | -17660.47656    0.00197855942   0.02135176957    | -17660.47461    
12/14/2025 23:32:10    1295   | -17660.51367    0.009770743549  0.03024057299    | -17660.50391    
12/14/2025 23:32:10    1296   | -17660.33789    0.02539259382   0.02530553564    | -17660.3125     
12/14/2025 23:32:10    1297   | -17660.08008    0.02148670144   0.0377587676     | -17660.05859    
12/14/2025 23:32:10    1298   | -17660.4082     0.01367553137   0.01922437549    | -17660.39453    
12/14/2025 23:32:10    1299   | -17660.26172    0.01367553137   0.04215293378    | -17660.24805    
12/14/2025 23:32:10    1300   | -17660.19531    0.003919029143  0.02591366693    | -17660.19141    
12/14/2025 23:32:11    1301   | -17660.22656    0.009770743549  0.04011146724    | -17660.2168     
12/14/2025 23:32:11    1302   | -17660.33594    0.007818897255  0.03353115544    | -17660.32812    
12/14/2025 23:32:11    1303   | -17660.55664    0.003919029143  0.02800947614    | -17660.56055    
12/14/2025 23:32:11    1304   | -17660.71484    0.00197855942   0.01781512052    | -17660.71289    
12/14/2025 23:32:11    1305   | -17660.54883    0.005867902189  0.02534843981    | -17660.55469    
12/14/2025 23:32:11    1306   | -17660.74414    0.00197855942   0.0282771159     | -17660.74609    
12/14/2025 23:32:11    1307   | -17660.53125    0.007818897255  0.02338458039    | -17660.53906    
12/14/2025 23:32:11    1308   | -17660.57422    0.009770743549  0.02436599135    | -17660.56445    
12/14/2025 23:32:11    1309   | -17660.49609    0.00197855942   0.02315441519    | -17660.49805    
12/14/2025 23:32:11    1310   | -17660.31641    0.003919029143  0.02894521505    | -17660.32031    
12/14/2025 23:32:11    1311   | -17660.32031    0.005867902189  0.02985738404    | -17660.31445    
12/14/2025 23:32:11    1312   | -17660.53125    0.007818897255  0.02959717251    | -17660.52344    
12/14/2025 23:32:11    1313   | -17660.43555    0.0003162277571 0.02534647658    | -17660.43555    
12/14/2025 23:32:11    1314   | -17660.60547    0.00197855942   0.03329075128    | -17660.60352    
12/14/2025 23:32:11    1315   | -17660.41797    0.005867902189  0.02466370724    | -17660.41211    
12/14/2025 23:32:11    1316   | -17660.45117    0.009770743549  0.03126869723    | -17660.44141    
12/14/2025 23:32:11    1317   | -17660.38672    0.00197855942   0.02568276599    | -17660.38867    
12/14/2025 23:32:11    1318   | -17660.4707     0.01953380927   0.03777242079    | -17660.45117    
12/14/2025 23:32:11    1319   | -17660.29492    0.01758096926   0.02610653266    | -17660.27734    
12/14/2025 23:32:11    1320   | -17660.41016    0.005867902189  0.03736101836    | -17660.4043     
12/14/2025 23:32:11    1321   | -17660.29102    0.02343963273   0.03362349421    | -17660.26758    
12/14/2025 23:32:11    1322   | -17660.44141    0.00197855942   0.02909752168    | -17660.44336    
12/14/2025 23:32:11    1323   | -17660.38867    0.0003162277571 0.02908271179    | -17660.38867    
12/14/2025 23:32:11    1324   | -17660.61133    0.009770743549  0.02522457205    | -17660.62109    
12/14/2025 23:32:11    1325   | -17660.77734    0.005867902189  0.01808087528    | -17660.77148    
12/14/2025 23:32:11    1326   | -17660.62695    0.0003162277571 0.0312969014     | -17660.62695    
12/14/2025 23:32:11    1327   | -17660.57812    0.005867902189  0.0286496263     | -17660.58398    
12/14/2025 23:32:12    1328   | -17660.49023    0.009770743549  0.03215782717    | -17660.5        
12/14/2025 23:32:12    1329   | -17660.41992    0.04101684317   0.03734469041    | -17660.46094    
12/14/2025 23:32:12    1330   | -17660.43945    0.01758096926   0.03222190961    | -17660.45703    
12/14/2025 23:32:12    1331   | -17660.47461    0.05664150789   0.03892019764    | -17660.53125    
12/14/2025 23:32:12    1332   | -17660.41602    0.03515767306   0.05305430666    | -17660.45117    
12/14/2025 23:32:12    1333   | -17660.13867    0.01758096926   0.04107531533    | -17660.15625    
12/14/2025 23:32:12    1334   | -17660.17773    0.01758096926   0.03755552694    | -17660.19531    
12/14/2025 23:32:12    1335   | -17660.4668     0.02929858118   0.03175161406    | -17660.49609    
12/14/2025 23:32:12    1336   | -17660.55469    0.02148670144   0.02591616102    | -17660.57617    
12/14/2025 23:32:12    1337   | -17660.62695    0.02929858118   0.02780799009    | -17660.65625    
12/14/2025 23:32:12    1338   | -17660.20312    0.02343963273   0.03274970502    | -17660.22656    
12/14/2025 23:32:12    1339   | -17660.23828    0.02734557912   0.02688874677    | -17660.26562    
12/14/2025 23:32:12    1340   | -17660.42578    0.02148670144   0.0355280973     | -17660.44727    
12/14/2025 23:32:12    1341   | -17660.26953    0.02929858118   0.04096665233    | -17660.29883    
12/14/2025 23:32:12    1342   | -17660.37109    0.009770743549  0.04059721157    | -17660.38086    
12/14/2025 23:32:12    1343   | -17660.50586    0.03515767306   0.02821111865    | -17660.54102    
12/14/2025 23:32:12    1344   | -17660.50391    0.02734557912   0.03447665647    | -17660.53125    
12/14/2025 23:32:12    1345   | -17660.33594    0.02148670144   0.03722827137    | -17660.35742    
12/14/2025 23:32:12    1346   | -17659.96289    0.01367553137   0.04391273856    | -17659.94922    
12/14/2025 23:32:12    1347   | -17660.31641    0.01172301546   0.03231462091    | -17660.30469    
12/14/2025 23:32:12    1348   | -17660.32227    0.01562820002   0.02945906296    | -17660.30664    
12/14/2025 23:32:12    1349   | -17660.52344    0.01562820002   0.02540136315    | -17660.53906    
12/14/2025 23:32:12    1350   | -17660.31055    0.01758096926   0.04708725959    | -17660.32812    
12/14/2025 23:32:12    1351   | -17660.48047    0.03125159815   0.02961402759    | -17660.51172    
12/14/2025 23:32:12    1352   | -17660.25391    0.009770743549  0.03778183088    | -17660.26367    
12/14/2025 23:32:12    1353   | -17660.39062    0.04296991229   0.02900050767    | -17660.43359    
12/14/2025 23:32:12    1354   | -17660.25391    0.04101684317   0.03675882146    | -17660.29492    
12/14/2025 23:32:12    1355   | -17660.34961    0.03515767306   0.03933228552    | -17660.38477    
12/14/2025 23:32:12    1356   | -17660.28125    0.01953380927   0.03311085328    | -17660.30078    
12/14/2025 23:32:12    1357   | -17660.31445    0.02539259382   0.03754306957    | -17660.33984    
12/14/2025 23:32:12    1358   | -17660.45703    0.02148670144   0.03326205164    | -17660.47852    
12/14/2025 23:32:13    1359   | -17660.53516    0.02343963273   0.0271694921     | -17660.55859    
12/14/2025 23:32:13    1360   | -17660.35156    0.01367553137   0.03395635635    | -17660.36523    
12/14/2025 23:32:13    1361   | -17660.52344    0.003919029143  0.03815444186    | -17660.52734    
12/14/2025 23:32:13    1362   | -17660.36523    0.04101684317   0.04127520323    | -17660.40625    
12/14/2025 23:32:13    1363   | -17660.56641    0.0390637815    0.03189354762    | -17660.60547    
12/14/2025 23:32:13    1364   | -17660.56055    0.03320463002   0.02928088233    | -17660.59375    
12/14/2025 23:32:13    1365   | -17660.19922    0.02734557912   0.03378141671    | -17660.22656    
12/14/2025 23:32:13    1366   | -17660.53906    0.01562820002   0.02496496402    | -17660.55469    
12/14/2025 23:32:13    1367   | -17660.48047    0.01367553137   0.03244986758    | -17660.49414    
12/14/2025 23:32:13    1368   | -17660.02344    0.04687606543   0.04237062111    | -17660.07031    
12/14/2025 23:32:13    1369   | -17659.95312    0.04492298514   0.04757249728    | -17659.99805    
12/14/2025 23:32:13    1370   | -17660.35547    0.01367553137   0.03368032351    | -17660.36914    
12/14/2025 23:32:13    1371   | -17660.67773    0.01562820002   0.03091402724    | -17660.69336    
12/14/2025 23:32:13    1372   | -17660.55859    0.03125159815   0.02920147032    | -17660.58984    
12/14/2025 23:32:13    1373   | -17660.57227    0.02734557912   0.03740693256    | -17660.59961    
12/14/2025 23:32:13    1374   | -17660.51953    0.003919029143  0.03418747336    | -17660.51562    
12/14/2025 23:32:13    1375   | -17660.37891    0.01953380927   0.04464233667    | -17660.39844    
12/14/2025 23:32:13    1376   | -17660.66406    0.04687606543   0.03364480287    | -17660.71094    
12/14/2025 23:32:13    1377   | -17660.4707     0.0390637815    0.03430319205    | -17660.50977    
12/14/2025 23:32:13    1378   | -17660.32617    0.03515767306   0.04694290832    | -17660.36133    
12/14/2025 23:32:13    1379   | -17660.25       0.04882914945   0.0323381424     | -17660.29883    
12/14/2025 23:32:13    1380   | -17660.57422    0.04492298514   0.03750810027    | -17660.61914    
12/14/2025 23:32:13    1381   | -17660.31836    0.01758096926   0.05404544994    | -17660.33594    
12/14/2025 23:32:13    1382   | -17659.98242    0.02539259382   0.03560013324    | -17660.00781    
12/14/2025 23:32:13    1383   | -17660.26953    0.04492298514   0.0358791016     | -17660.31445    
12/14/2025 23:32:13    1384   | -17660.24805    0.03125159815   0.04011267424    | -17660.2793     
12/14/2025 23:32:13    1385   | -17660.11133    0.01562820002   0.03725849837    | -17660.12695    
12/14/2025 23:32:13    1386   | -17660.11328    0.03320463002   0.03703291342    | -17660.14648    
12/14/2025 23:32:13    1387   | -17660.10156    0.01172301546   0.03645706177    | -17660.11328    
12/14/2025 23:32:14    1388   | -17660.3418     0.02539259382   0.03907791525    | -17660.36719    
12/14/2025 23:32:14    1389   | -17660.48633    0.03320463002   0.03349200636    | -17660.51953    
12/14/2025 23:32:14    1390   | -17660.07227    0.05078223348   0.0437252894     | -17660.12305    
12/14/2025 23:32:14    1391   | -17660.25781    0.0390637815    0.04584653303    | -17660.29688    
12/14/2025 23:32:14    1392   | -17660.48047    0.04492298514   0.03372605145    | -17660.52539    
12/14/2025 23:32:14    1393   | -17660.16211    0.0546884127    0.04854406416    | -17660.2168     
12/14/2025 23:32:14    1394   | -17660.47656    0.04687606543   0.03860098496    | -17660.52344    
12/14/2025 23:32:14    1395   | -17660.44141    0.02539259382   0.02734131739    | -17660.4668     
12/14/2025 23:32:14    1396   | -17660.32422    0.03320463002   0.04230363294    | -17660.35742    
12/14/2025 23:32:14    1397   | -17660.34375    0.04687606543   0.03523556516    | -17660.39062    
12/14/2025 23:32:14    1398   | -17660.0957     0.03125159815   0.04396679252    | -17660.12695    
12/14/2025 23:32:14    1399   | -17660.49805    0.05664150789   0.03813191131    | -17660.55469    
12/14/2025 23:32:14    1400   | -17660.28906    0.06054769829   0.03995231539    | -17660.34961    
12/14/2025 23:32:14    1401   | -17660.49609    0.05078223348   0.03844908252    | -17660.54688    
12/14/2025 23:32:14    1402   | -17660.44336    0.03515767306   0.05126415938    | -17660.47852    
12/14/2025 23:32:14    1403   | -17660.49805    0.03515767306   0.04390870035    | -17660.5332     
12/14/2025 23:32:14    1404   | -17660.29492    0.02343963273   0.02868289128    | -17660.31836    
12/14/2025 23:32:14    1405   | -17660.36523    0.04882914945   0.04591779411    | -17660.41406    
12/14/2025 23:32:14    1406   | -17660.17773    0.02148670144   0.03291394189    | -17660.19922    
12/14/2025 23:32:14    1407   | -17660.22266    0.01172301546   0.04168268666    | -17660.23438    
12/14/2025 23:32:14    1408   | -17660.50781    0.06445389986   0.0319791697     | -17660.57227    
12/14/2025 23:32:14    1409   | -17660.57227    0.04101684317   0.02855765261    | -17660.61328    
12/14/2025 23:32:14    1410   | -17660.44922    0.04101684317   0.03556279093    | -17660.49023    
12/14/2025 23:32:14    1411   | -17660.62891    0.04296991229   0.02557035349    | -17660.67188    
12/14/2025 23:32:14    1412   | -17660.44336    0.02929858118   0.03798393905    | -17660.47266    
12/14/2025 23:32:14    1413   | -17660.28516    0.0390637815    0.04157699272    | -17660.32422    
12/14/2025 23:32:14    1414   | -17660.26758    0.0722663179    0.03843652084    | -17660.33984    
12/14/2025 23:32:15    1415   | -17660.25977    0.05273532122   0.04594936222    | -17660.3125     
12/14/2025 23:32:15    1416   | -17660.62305    0.03711072356   0.02573419362    | -17660.66016    
12/14/2025 23:32:15    1417   | -17660.25781    0.04882914945   0.04199473187    | -17660.30664    
12/14/2025 23:32:15    1418   | -17660.38086    0.0546884127    0.03634078056    | -17660.43555    
12/14/2025 23:32:15    1419   | -17659.91016    0.02734557912   0.03900113329    | -17659.9375     
12/14/2025 23:32:15    1420   | -17660.44727    0.04687606543   0.03284978122    | -17660.49414    
12/14/2025 23:32:15    1421   | -17660.26562    0.01367553137   0.03118447959    | -17660.2793     
12/14/2025 23:32:15    1422   | -17660.25       0.01953380927   0.05397212133    | -17660.26953    
12/14/2025 23:32:15    1423   | -17660.19531    0.01172301546   0.05946491286    | -17660.20703    
12/14/2025 23:32:15    1424   | -17660.48047    0.0546884127    0.04497750103    | -17660.53516    
12/14/2025 23:32:15    1425   | -17660.20117    0.04492298514   0.05287519097    | -17660.24609    
12/14/2025 23:32:15    1426   | -17660.5293     0.03711072356   0.02790423855    | -17660.56641    
12/14/2025 23:32:15    1427   | -17660.31836    0.009770743549  0.04551498219    | -17660.32812    
12/14/2025 23:32:15    1428   | -17660.40234    0.03711072356   0.03304477409    | -17660.43945    
12/14/2025 23:32:15    1429   | -17660.44336    0.04687606543   0.02741232701    | -17660.49023    
12/14/2025 23:32:15    1430   | -17660.19141    0.03515767306   0.03530886397    | -17660.22656    
12/14/2025 23:32:15    1431   | -17660.38867    0.01172301546   0.03139977902    | -17660.40039    
12/14/2025 23:32:15    1432   | -17660.20312    0.01172301546   0.04185501114    | -17660.21484    
12/14/2025 23:32:15    1433   | -17660.35547    0.02148670144   0.03455015272    | -17660.37695    
12/14/2025 23:32:15    1434   | -17660.28516    0.005867902189  0.04136282951    | -17660.29102    
12/14/2025 23:32:15    1435   | -17660.10742    0.003919029143  0.05102655292    | -17660.11133    
12/14/2025 23:32:15    1436   | -17660.32422    0.0390637815    0.02967722528    | -17660.36328    
12/14/2025 23:32:15    1437   | -17660.3457     0.01953380927   0.03961689398    | -17660.36523    
12/14/2025 23:32:15    1438   | -17660.16406    0.02148670144   0.03712167218    | -17660.14258    
12/14/2025 23:32:15    1439   | -17660.72266    0.003919029143  0.02979941666    | -17660.71875    
12/14/2025 23:32:15    1440   | -17660.41406    0.01953380927   0.0319689475     | -17660.39453    
12/14/2025 23:32:15    1441   | -17660.30664    0.02148670144   0.03791282326    | -17660.28516    
12/14/2025 23:32:15    1442   | -17660.61914    0.01758096926   0.0301293768     | -17660.60156    
12/14/2025 23:32:15    1443   | -17660.36328    0.003919029143  0.04065049812    | -17660.35938    
12/14/2025 23:32:15    1444   | -17660.48828    0.01953380927   0.02465924062    | -17660.46875    
12/14/2025 23:32:16    1445   | -17660.3418     0.0390637815    0.04961496219    | -17660.30273    
12/14/2025 23:32:16    1446   | -17660.79102    0.00197855942   0.02406542189    | -17660.78906    
12/14/2025 23:32:16    1447   | -17660.54492    0.03320463002   0.03392489627    | -17660.51172    
12/14/2025 23:32:16    1448   | -17660.53711    0.01758096926   0.02474510856    | -17660.51953    
12/14/2025 23:32:16    1449   | -17660.49805    0.02734557912   0.03308936581    | -17660.4707     
12/14/2025 23:32:16    1450   | -17660.2168     0.02539259382   0.03651442379    | -17660.19141    
12/14/2025 23:32:16    1451   | -17660.6582     0.01172301546   0.02936867066    | -17660.64648    
12/14/2025 23:32:16    1452   | -17660.55859    0.02734557912   0.03714490309    | -17660.53125    
12/14/2025 23:32:16    1453   | -17660.83398    0.01562820002   0.02346758172    | -17660.81836    
12/14/2025 23:32:16    1454   | -17660.23047    0.0003162277571 0.0513677299     | -17660.23047    
12/14/2025 23:32:16    1455   | -17660.58203    0.01953380927   0.02944191545    | -17660.5625     
12/14/2025 23:32:16    1456   | -17660.75586    0.01562820002   0.02320189029    | -17660.74023    
12/14/2025 23:32:16    1457   | -17660.16602    0.03320463002   0.0322740078     | -17660.13281    
12/14/2025 23:32:16    1458   | -17660.04102    0.02539259382   0.03383185714    | -17660.01562    
12/14/2025 23:32:16    1459   | -17660.30078    0.02343963273   0.03996255621    | -17660.27734    
12/14/2025 23:32:16    1460   | -17660.54883    0.02539259382   0.03194090724    | -17660.52344    
12/14/2025 23:32:16    1461   | -17660.11328    0.01367553137   0.03110327758    | -17660.09961    
12/14/2025 23:32:16    1462   | -17660.55273    0.01562820002   0.02832693048    | -17660.53711    
12/14/2025 23:32:16    1463   | -17660.57031    0.02734557912   0.02588023245    | -17660.54297    
12/14/2025 23:32:16    1464   | -17660.33984    0.003919029143  0.03655789047    | -17660.33594    
12/14/2025 23:32:16    1465   | -17660.38672    0.01367553137   0.02672954835    | -17660.37305    
12/14/2025 23:32:16    1466   | -17660.32031    0.00197855942   0.04120325297    | -17660.32227    
12/14/2025 23:32:16    1467   | -17660.73633    0.01367553137   0.02127134241    | -17660.72266    
12/14/2025 23:32:16    1468   | -17660.33203    0.01562820002   0.02946460433    | -17660.31641    
12/14/2025 23:32:16    1469   | -17660.46094    0.01562820002   0.02957957424    | -17660.44531    
12/14/2025 23:32:16    1470   | -17660.5293     0.00197855942   0.0338851586     | -17660.52734    
12/14/2025 23:32:16    1471   | -17660.41797    0.007818897255  0.02662020363    | -17660.41016    
12/14/2025 23:32:16    1472   | -17660.43164    0.0003162277571 0.02395002544    | -17660.43164    
12/14/2025 23:32:16    1473   | -17660.58789    0.00197855942   0.02055629343    | -17660.58594    
12/14/2025 23:32:16    1474   | -17660.48633    0.01953380927   0.02980910614    | -17660.4668     
12/14/2025 23:32:17    1475   | -17660.56055    0.00197855942   0.0187683031     | -17660.5625     
12/14/2025 23:32:17    1476   | -17660.48633    0.003919029143  0.02543759905    | -17660.48242    
12/14/2025 23:32:17    1477   | -17660.38086    0.0003162277571 0.02717951313    | -17660.38086    
12/14/2025 23:32:17    1478   | -17660.4043     0.01172301546   0.02431887761    | -17660.39258    
12/14/2025 23:32:17    1479   | -17660.3418     0.00197855942   0.03812640905    | -17660.34375    
12/14/2025 23:32:17    1480   | -17660.58008    0.005867902189  0.0164128039     | -17660.57422    
12/14/2025 23:32:17    1481   | -17660.2793     0.0003162277571 0.03148344904    | -17660.2793     
12/14/2025 23:32:17    1482   | -17660.36719    0.01562820002   0.02643107437    | -17660.38281    
12/14/2025 23:32:17    1483   | -17660.51172    0.007818897255  0.02787884325    | -17660.50391    
12/14/2025 23:32:17    1484   | -17660.1582     0.007818897255  0.0274835825     | -17660.15039    
12/14/2025 23:32:17    1485   | -17660.59961    0.00197855942   0.02281125262    | -17660.60156    
12/14/2025 23:32:17    1486   | -17660.47266    0.00197855942   0.0245577842     | -17660.47461    
12/14/2025 23:32:17    1487   | -17660.70117    0.01172301546   0.02118377201    | -17660.71289    
12/14/2025 23:32:17    1488   | -17660.78516    0.00197855942   0.02246827073    | -17660.7832     
12/14/2025 23:32:17    1489   | -17660.21875    0.01172301546   0.03781726584    | -17660.23047    
12/14/2025 23:32:17    1490   | -17660.54883    0.009770743549  0.02675415762    | -17660.53906    
12/14/2025 23:32:17    1491   | -17660.20508    0.003919029143  0.02634967491    | -17660.20898    
12/14/2025 23:32:17    1492   | -17660.53516    0.007818897255  0.02436758205    | -17660.52734    
12/14/2025 23:32:17    1493   | -17660.66406    0.005867902189  0.02028074302    | -17660.6582     
12/14/2025 23:32:17    1494   | -17660.1875     0.01172301546   0.03284193203    | -17660.17578    
12/14/2025 23:32:17    1495   | -17660.45508    0.003919029143  0.02707074583    | -17660.45117    
12/14/2025 23:32:17    1496   | -17660.41211    0.01562820002   0.03109952435    | -17660.39648    
12/14/2025 23:32:17    1497   | -17660.41797    0.005867902189  0.02716963738    | -17660.42383    
12/14/2025 23:32:17    1498   | -17660.36133    0.01367553137   0.0246062316     | -17660.34766    
12/14/2025 23:32:17    1499   | -17660.14844    0.01562820002   0.03088703193    | -17660.13281    
12/14/2025 23:32:17    1500   | -17660.74023    0.005867902189  0.01826601103    | -17660.73438    
12/14/2025 23:32:17    1501   | -17660.57812    0.007818897255  0.03595057502    | -17660.57031    
12/14/2025 23:32:17    1502   | -17659.93359    0.01172301546   0.06100091338    | -17659.92188    
12/14/2025 23:32:18    1503   | -17660.53125    0.00197855942   0.02739615738    | -17660.5293     
12/14/2025 23:32:18    1504   | -17660.64453    0.01758096926   0.03399674222    | -17660.62695    
